,comments
0,前面的你跟医护人员说n95戴的不对？？？
1,辛苦了
2,泪目
3,辛苦了
4,辛苦了
5,辛苦了
6,致敬
7,zhi jing q
8,辛苦了
9,l
10,辛苦了
11,辛苦了
12,辛苦了
13,辛苦了
14,拒绝野味，从我做起
15,武汉加油
16,辛苦了
17,辛苦了
18,辛苦了
19,加油
20,辛苦了
21,辛苦了
22,武汉加油！！！！
23,辛苦了
24,辛苦了
25,加油啊！
26,辛苦了
27,辛苦了
28,天使万岁
29,一定要拍一部电影来纪念武汉抗疫
30,辛苦了
31,加油
32,辛苦了
33,武汉加油
34,辛苦了
35,辛苦啦
36,辛苦了
37,辛苦啦
38,我们在这样的国家，我们骄傲！
39,以凡人之身，力挽病毒狂澜，中国的脊梁！
40,等待英雄凯旋归来
41,这里有英雄，并且不只有他们
42,辛苦了
43,辛苦了
44,辛苦了
45,辛苦了
46,辛苦了
47,辛苦了
48,辛苦了
49,加油！可爱的天使们
50,辛苦了
51,向英雄致敬，中国加油！
52,中国加油！！！
53,辛苦了
54,死亡证
55,辛苦了
56,辛苦了
57,辛苦了
58,辛苦了
59,辛苦了
60,今天游戏玩不了，只能发发弹幕玩了
61,呦呵
62,辛苦了
63,辛苦了
64,辛苦了
65,中国加油
66, 摄影师怎么办呢
67,辛苦了
68,辛苦了
69,辛苦了辛苦了辛苦了辛苦了
70,辛苦了
71,辛苦了
72,武汉加油中国加油
73,辛苦了
74,辛苦了
75,简直就是现代版的生化危机啊
76,我爱中国，武汉加油，中国加油
77,辛苦了！
78,辛苦了
79,这好辛苦
80,加油
81,辛苦了
82,辛苦了
83,谢谢你们，辛苦了
84,辛苦了！
85,辛苦了
86,辛苦了
87,中国加油，武汉加油
88,加油
89,辛苦了
90,辛苦了
91,辛苦了
92,辛苦了❤️
93,辛苦了
94,四月四日纪念
95,辛苦了
96,辛苦了
97,辛苦了
98,辛苦了
99,辛苦了
100,辛苦了
101,辛苦了
102,加油！！！！
103,致敬
104,致敬
105,辛苦了
