,comments
0,心疼
1,4月4号来考古。
2,加油！！！
3,向所有医护人员致敬！！！
4,辛苦了
5,泪目
6,焦局辛苦
7,中国加油
8,武汉加油
9,全是黑白的外面看着
10,辛苦了
11,英雄不朽
12,加油
13,辛苦了
14,开心的锣鼓敲出年年的喜庆~~~~
15,开心的锣鼓敲出年年的喜庆~~~~
16,这是睡觉?哈哈
17,致敬
18,辛苦了
19,肝肠寸断的东西吃吃吃
20,歌词现在准备你你你。  彻彻底底富贵花哼哼唧唧
21,姑姑姑父电视宣传册v宝宝
22,媳妇一天的唱歌
23,致敬
24,加油
25,致敬！
26,辛苦了
27,辛苦了
28,辛苦了
29,辛苦了
30,加油中国
31,致敬！
32,加油
33,辛苦了
34,谢谢你们
35,谢谢你们为我们负重前行
36,致敬
37,致敬
38,辛苦了
39,辛苦了
40,加油！！！！
41,加油
42,致敬
43,辛苦了！加油
44,武汉加油，中国加油！
45,加油！！
46,辛苦了！！
47,辛苦了
48,加油
49,致敬英雄！！！
50,辛苦3
51,辛苦了，谢谢
52,致敬
53,辛苦了
54, 辛苦了
55,辛苦了，加油
56,辛苦了
57,严防接触感染！
58,医生加油！
59,医护人员辛苦了！
60,武汉加油
61,致敬前线的白衣天使和白衣战士们
62,如果希望有颜色一定是中国红
63,加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
64,中国加油
65,武汉加油，白衣天使加油
66,辛苦了
67,嘿嘿
68,加油加油加油加油！
69,视频聊天
70,辛苦了
71,武汉加油
72,加油
73,加油
74,辛苦了
75,加油！不要输！！！！！
76,辛苦了辛苦了
77,奥利给
78,辛苦了
79,辛苦了医生
80,武汉加油
81,武汉加油
82,白衣天使们，加油
83,辛苦了
84,加油！！！！！！！
85,致敬
86,加油！
87,加油
88,加油！
89,辛苦
90,辛苦了
91,辛苦了，辛苦了
92,奋战在一线的医护人员，你们辛苦了！！！！！
93,辛苦了
94,加油
95,辛苦了
96,辛苦了
97,辛苦了
98,辛苦了
99,加油，奥利给
100,加油
101,辛苦了
102,请首先保证自己的生命安全！！
103,人民的天使      辛苦了
104,人民的天使     永远爱你们~
105,加油挺住
106,致敬
107,新加坡发现了
108,致敬
109,武汉加油
110,加油
111,辛苦了
112,辛苦了
113,加油
114,辛苦了！加油！
115,武汉加油 医务人员加油
116,辛苦了
117,辛苦了，白衣天使们
118,加油
119,加油
120,辛苦了，加油！！
121,相信国家！
122,愿所有善良的白衣天使平安归来！
123,学医，救的了中国
124,辛苦了
125,向全体医务人员致敬！！
126,挺住！！加油！！
127,致敬！！
128,加油啊！！
129,加油！辛苦了！
130,致敬
131,辛苦了
132,武汉加油
133,加油
134,加油，致敬
135,英雄
136,加油！
137,武汉加油
138,有的 韩国 日本 泰国 目前美国也有了
139,加油ヾ(◍°∇°◍)ﾉﾞ
140,辛 苦 了
141,奥利给！！！
142,加油！武汉
143,加油！！！
144,祈福中华
145,加油加油
146,辛苦了
147,加油
148,加油
149,辛苦了
150,武汉加油
151,辛苦了
152,加油！
153,辛苦了
154,辛苦了！
155,加油啊
156,加油！
157,辛苦了
158,致敬
159,辛苦了！
160,辛苦了
161,加油！武汉！
162,加油！
163,致敬
164,辛苦了各位
165,致敬
166,辛苦了
167,辛苦了
168,加油
169,辛苦了
170,辛苦了
171,自身体质和防范都要增强！
172,致敬！
173,致敬！
174,致敬白衣天使
175,辛苦了，加油
176,加油
177,加油啊挺住
178,致敬
179,加油祈福
180,辛苦了
181,向所有医护人员致敬！
182,保护医护人员
183,辛苦了
184,辛苦了！
185,致敬！
186,致敬
187,加油，辛苦了
188,辛苦了
189,加油，祝患者能早日康复
190,加油
191,加油加油加油
192,辛苦了
193,真的是太辛苦了
194,辛苦了
