,comments
0,致敬
1,寿比南山！
2,老而不朽谓之圣
3,致敬！
4,致敬，爷爷辛苦了
5,致敬，爷爷辛苦了
6,爷爷棒棒哒
7,致敬
8,致敬
9,致敬
10,致敬
11,辛苦爷爷，身体健康啊
12,致敬
13,主任医师
14,老当益壮
15,七月份再来看真是恍如隔世啊
16,致敬
17,我……下辈子要当医生
18,爷爷强强强！！！！
19,致敬
20,国之重器，民族脊梁
21,国士无双
22,致敬
23,致敬！
24,国士无双
25,致敬
26,致敬！
27,祝老爷子身体健康
28,这位爷爷还好吗
29,致敬
30,爷爷，我们都是你的粉丝
31,辛苦了
32,辛苦了！休息休息
33,致敬
34,辛苦了
35,辛苦了谢谢你
36,致敬
37,老爷爷辛苦了
38,致敬
39,国士无双
40,老人家长命百岁
41,向爷爷学习！
42,致敬
43,致敬
44,致敬
45,谢谢先生
46,医者仁心
47,致敬
48,辛苦了！！
49,致敬
50,致敬
51,天，86岁
52,爷爷您真棒！
53,我们都是您的粉丝！
54,老骥伏枥志在千里，烈士暮年壮心不已
55,致敬
56,辛苦了！
57,致敬
58,致敬
59,最可爱的爷爷
60,谢谢您
61,致敬
62,致敬
63,致敬！！！
64,致敬
65,你可以去问专家
66,谢谢爷爷
67,全副武装！爷爷加油！
68,爷爷注意身体
69,致敬
70,加油
71,致敬
72,武汉加油
73,辛苦了！
74,加油哦 致敬
75,致敬
76,致敬
77,加油
78,致敬
79,爷爷加油
80,致敬
81,致敬
82,致敬
83,向英雄致敬
84,致敬
85,谢谢您们
86,辛苦了老爷子，向您致敬！
87,致敬
88,注意身体，
89,老爷子威武
90,国士无双
91,谢谢爷爷您辛苦了
92,爷爷加油！
93,太好的人
94,致敬
95,致敬！！！！
96,加油
97,辛苦了
98,致敬
99,谢谢！
100,致敬
101,致敬
102,加油
103,致敬！
104,国士无双
105,致敬英雄！
106,辛苦啦
107,致敬
108,致敬
109,多注意身体啊！
110,致敬
111,致敬！
112,致敬！辛苦你了
113,爷爷 祝您身体健康 快乐永远
114,加油
115,致敬
116,致敬
117,致敬！
118,致敬
119,致敬
120,致敬
121,加油！
122,注意身体
123,加油
124,加油吧
125,致敬辛苦了！
126,致敬
127,辛苦了
128,爱您尊敬你
129,致敬
130,致敬英雄
131,致敬
132,致敬！
133,致敬！
134,致敬
135,加油爷爷
136,致敬
137,爷爷好棒哦！
138,加油
139,感动(ಥ_ಥ)
140,致敬！
141,致敬
142,中国加油！
143,致敬
144,加油
145,致敬
146,爷爷加油
147,中国我爱你
148,好人长命百岁
149,加油
150,辛苦您了
151,致敬
152,祝爷爷寿比南山！！
153,谢谢爷爷
154,加油
155,致敬
156,我爱你
157,我也是您的粉丝！
158,致敬
159,致敬
160,致敬！
161,致敬！
162,加油
163,爷爷加油
164,致敬
165,致敬
166,辛苦了
167,致敬
168,致敬所有医护人员
169,致敬
170,加油
171,辛苦了，致敬
172,辛苦了！
173,致敬
174,致敬
175,致敬！加油！
176,致敬
177,致敬
178,致敬英雄
179,英雄不朽
180,中国加油
181,致敬
182,是本事吧
183,是本事吧
184,致敬
185,致敬！
186,致敬
187,真的谢谢！还有您辛苦了！
188,加油
189,致敬
190,辛苦了英雄
191,这才是有高尚灵魂的人
192,老英雄，医者仁心，提壶济世
193,老兵上阵
194,爷爷辛苦了
195,致敬
196,爷爷辛苦了
197,加油
198,加油
199,致敬
200,辛苦了
201,英雄不朽加油
202,老师辛苦了！
203,辛苦
204,致敬
205,致敬！
206,致敬！
207,致敬
208,爷爷辛苦了
209,好人一生平安
210,致敬
211,武汉加油
212,爷爷辛苦了
213,辛苦了
214,致敬 加油
215,辛苦
216,辛苦
217,幸苦了
218,致敬
219,也要好好照顾好自己啊
220,爷爷加油啊
221,那个药是希刻劳小时候喝多了一眼就看出来了
222,致敬
223,致敬
224,向英雄致敬，向逝者致哀 愿祖国繁荣昌盛
225,加油！！！
226,国士无双！
227,辛苦了，向您致敬
228,致敬
229,加油！
230,可爱
231,老专家干嘛吖，这么拼
232,爷爷辛苦了加油！
233,爷爷辛苦了加油
234,致敬
235,这个记者？
236,加油＾０＾~
237,像医务人员致敬，愿大家平安。
238,致敬！
239,辛苦了！希望病毒赶快得到控制消除
240,加油！！！
241,爷爷注意休息
242,爷爷注意休息
243,致敬
244,致敬
245,老爷子加油
246,天使们辛苦了！
247,真棒真棒
248,辛苦了！
249,致敬！
250,致敬
251,致敬致敬感谢您老的无私奉献
252,武汉加油
253,想哭啊
254,加油
255,武汉加油
256,致敬
257,民族脊梁 中华长城 
258,致敬
259,致敬
260,加油
261,中国加油
262,国士无双
263,致敬~！
264,加油
265,国士无双
266,全国人民上下一心的时候什么困难都能克服！！！
267,好人一生平安
268,爷爷辛苦了
269,致敬
270,致敬 辛苦了
271,辛苦了加油！
272,致敬！！
273,武汉加油
274,致敬
275,加油
276,向您致敬
277,加油
278,加油
279,加油
280,致敬
281,致敬
282,致敬！！
283,加油
284,勇士
285,致敬
286,幸苦了
287,爷爷加油！
288,泪目
289,国   士     无     双
290,武汉加油
291,加油
292,加油
293,致敬
294,加油
295,辛苦了
296,致敬！
297,致敬
298,加油
