,comments
0,医护人员你们辛苦了
1,武汉加油！
2,你们辛苦了
3,加油
4,武汉加油
5,辛苦了
6,武汉加油
7,记者也是冒着生命危险，医护人员也是
8,天使辛苦啦
9,天使们辛苦了
10,武汉加油
11,小姐姐们最美了
12,白衣天使们辛苦了，加油呀。
13,致敬！！！！！！！！！！！！
14,致敬！！！！！！！！！！！
15,致敬！！！！！！
16,致敬
17,中国加油！！！武汉加油！！！
18,辛苦了
19,加油！辛苦了！
20,加油！！！！
21,加油
22,1
23,辛苦了
24,武汉加油！！！
25,武汉加油！
26,加油人类!!人类终将战胜一切病毒!
27,加油
28,武汉加油中国加油
29,武汉加油
30,武汉加油
31,饥渴难耐
32,加油
33,好幸苦
34,白衣天使加油！
35,武汉加油！
36,武汉加油
37,加油
38,武汉加油
39,辛苦了
40,武汉加油
41,加油
42,武汉加油！
43,武汉加油，中国加油
44,天佑武汉
45,加油
46,加油
47,武汉加油
48,致敬
49,致敬
50,加油
51,武汉加油
52,武汉加油
53,武汉加油
54,加油！！！
55,英雄辛苦了
56,武汉加油
57,您们辛苦了
58,武汉加油
59,武汉加油
60,武汉加油
61,武汉加油
62,加油
63,太严重了
64,武汉加油
65,别的不能看了？
66,武汉加油
67,辛苦了!
68,加油加油！
69,辛苦了
70,我灰了
71,屏幕黑了
72,泪目
73,加油
74,相信你们，武汉会挺过去的，一定会
75,武汉加油
76,天使
77,你们一直都很伟大
78,武汉加油
79,辛苦了，谢谢你们
80,辛苦了
81,中国加油
82,爱你小姐姐
83,向记者致敬
84,武汉加油w
85,武汉 加油！ 一线的战士
86,加油
87,记者也很强啊
88,辛苦了
89,加油
90,武汉加油
91,武汉加油真实的医院情况井然有序
92,加油
93,真的是天使
94,向一线医护人员致以最高的敬意！
95,武汉加油
96,辛苦了，白衣天使，加油
97,辛苦了
98,加油
99,漂亮
100,武汉加油
101,武汉加油
102,辛苦了
103,加油
104,感谢
105,weida
106,医护人员手皮必须得厚。。。。。。。。。
107,辛苦了
