,comments
0,武汉加油
1,武汉机油
2,武汉加油！中国加油！
3,中国加油武汉加油
4,加油
5,武汉加油
6,时长好评  2.33
7,加油
8,加油
9,ok
10,ok
11,ok
12,武汉加油!
13,我会多喝水
14,憋回去可害行
15,武汉加油
16,武汉加油
17,中国加油！
18,武汉加油
19,武汉加油，中国必胜
20,武汉加油
21,中国加油
22,加油
23,武汉加油
24,世界加油
25,周围有人打到人怎么办？
26,中国加油！！！
27,武汉加油！！！
28,加油！
29,武汉加油
30,武汉加油
31,武汉加油
32,武汉加油
33,我相信热干面能康复的
34,加油
35,武汉加油
36,武汉加油
37,加油！
38,加油武汉
39,武汉加油，中国加油
40,个个省份都加油
41,加油
42,中国必胜
43,武汉加油
44,中国加油
45,中国加油武汉加油
46,华农落泪
47,武汉加油！！！！！！
48,武汉加油！
49,中国加油，武汉加油。
50,中国加油！武汉加油！
51,武汉加油!
52,武汉加油
53,4月4日要成纪念日了吗。
54,默默哦
55,中国加油！
56,武汉加油
57,中国加油！武汉加油！
58,233进度条
59,武汉加油啊
60,武汉加油
61,这个是95%细菌，说明书上有
62,武汉人的心一定是安定的
63,武汉人的心一定是安定的
64,武汉加油
65,中国
66,中国加油！
67,加油武汉
68,武汉加油 中国加油
69,捕食。。
70,武汉加油！
71,武汉加油！武汉加油！
72,武汉加油！
73,加油啊
74,武汉加油
75,加油！
76,武汉加油
77,北京加油
78,北京加油
79,北京加油
80,北京加油！
81,北京加油！
82,武汉加油
83,武汉加油
84,武汉加油
85,武汉加油
86,武汉加油
87,武汉加油
88,武汉加油啊
89,我看不清了能不发弹幕吗
90,弹幕开的疯狂。
91,武汉加油
92,武汉加油
93,武汉加油！祖国加油！
94,背心的捏紧鼻子憋回去
95,土拨鼠
96,武汉加油
97,武汉加油
98,武汉加油
99,武汉加油
100,武汉加油
101,中国加油
102,武汉加油
103,云南人民为武汉加油！
104,野生动物，仓鼠属于家宠
105,武汉加油!
106,中国加油
107,加油！
108,武汉加油
109,我们一起加油！
110,武汉加油
111,武汉加油！
112,我买了防毒面具
113,中国加油
114,武汉加油！
115,武汉加油
116,武汉加油
117,武汉加油！中国加油！
118,愿一切安好
119,武汉加油！
120,武汉加油
121,武汉加油！！！
122,屏幕刷起武汉加油
123,武汉加油
124,武汉加油
125,加油
126,加油
127,中国加油
128,武汉加油，中国加油！
129,武汉加油
130,武汉加油
131,蝙蝠怎么吃的下去啊看着就吓人
132,武汉加油
133,浙江加油
134,武汉加油
135,武汉加油！
136,中国加油
137,武汉加油
